행정구역,2025년01월_총인구수,2025년01월_세대수,2025년01월_세대당 인구,2025년01월_남자 인구수,2025년01월_여자 인구수,2025년01월_남여 비율
경기도 파주시 운정2동(4148056000),"63,871","24,462",2.61,"31,013","32,858",0.94
경기도 파주시 운정3동(4148057000),"68,378","27,046",2.53,"33,354","35,024",0.95
경기도 파주시 운정4동(4148058000),"23,732","10,401",2.28,"11,669","12,063",0.97
경기도 파주시 운정5동(4148059000),"54,603","20,657",2.64,"27,215","27,388",0.99
경기도 파주시 운정6동(4148060000),"26,609","11,578",2.3,"13,370","13,239",1.01
경기도 이천시 (4150000000),"222,420","105,601",2.11,"116,032","106,388",1.09
경기도 이천시 장호원읍(4150025000),"14,306","6,949",2.06,"7,247","7,059",1.03
경기도 이천시 부발읍(4150025300),"36,963","17,232",2.15,"19,743","17,220",1.15
경기도 이천시 신둔면(4150031000),"13,755","6,745",2.04,"7,254","6,501",1.12
경기도 이천시 백사면(4150032000),"12,043","5,541",2.17,"6,114","5,929",1.03
경기도 이천시 호법면(4150033000),"5,714","3,089",1.85,"3,078","2,636",1.17
경기도 이천시 마장면(4150034000),"16,074","8,216",1.96,"8,723","7,351",1.19
경기도 이천시 대월면(4150035000),"14,758","7,967",1.85,"7,752","7,006",1.11
경기도 이천시 모가면(4150036000),"4,070","2,253",1.81,"2,224","1,846",1.2
경기도 이천시 설성면(4150037000),"4,364","2,441",1.79,"2,353","2,011",1.17
경기도 이천시 율면(4150038000),"2,463","1,417",1.74,"1,290","1,173",1.1
경기도 이천시 창전동(4150051000),"15,603","8,383",1.86,"7,957","7,646",1.04
경기도 이천시 증포동(4150051500),"56,212","21,198",2.65,"28,043","28,169",1
경기도 이천시 중리동(4150052000),"15,216","8,827",1.72,"8,676","6,540",1.33
경기도 이천시 관고동(4150053000),"10,879","5,343",2.04,"5,578","5,301",1.05
경기도 안성시 (4155000000),"194,007","94,852",2.05,"100,275","93,732",1.07
경기도 안성시 공도읍(4155025000),"66,256","29,747",2.23,"33,598","32,658",1.03
경기도 안성시 보개면(4155031000),"4,931","2,504",1.97,"2,562","2,369",1.08
경기도 안성시 금광면(4155032000),"6,973","3,623",1.92,"3,448","3,525",0.98
경기도 안성시 서운면(4155033000),"3,003","1,583",1.9,"1,598","1,405",1.14
경기도 안성시 미양면(4155034000),"5,386","2,939",1.83,"2,975","2,411",1.23
경기도 안성시 대덕면(4155035000),"14,322","8,183",1.75,"8,092","6,230",1.3
경기도 안성시 양성면(4155036000),"5,010","2,656",1.89,"2,634","2,376",1.11
경기도 안성시 원곡면(4155038000),"6,237","3,505",1.78,"3,516","2,721",1.29
경기도 안성시 일죽면(4155039000),"7,013","3,796",1.85,"3,646","3,367",1.08
경기도 안성시 죽산면(4155040000),"6,553","3,724",1.76,"3,504","3,049",1.15
경기도 안성시 삼죽면(4155041000),"3,570","2,195",1.63,"1,844","1,726",1.07
경기도 안성시 고삼면(4155042000),"1,822","1,026",1.78,966,856,1.13
경기도 안성시 안성1동(4155051000),"11,273","5,537",2.04,"5,664","5,609",1.01
경기도 안성시 안성2동(4155052000),"26,344","12,626",2.09,"13,450","12,894",1.04
경기도 안성시 안성3동(4155053000),"25,314","11,208",2.26,"12,778","12,536",1.02
경기도 김포시 (4157000000),"486,651","206,362",2.36,"242,823","243,828",1
경기도 김포시 통진읍(4157025000),"34,941","18,443",1.89,"18,509","16,432",1.13
경기도 김포시 고촌읍(4157025300),"50,540","19,291",2.62,"25,049","25,491",0.98
경기도 김포시 양촌읍(4157025600),"30,501","15,987",1.91,"16,014","14,487",1.11
경기도 김포시 대곶면(4157034000),"9,270","5,317",1.74,"5,374","3,896",1.38
경기도 김포시 월곶면(4157035000),"5,163","3,080",1.68,"2,872","2,291",1.25
경기도 김포시 하성면(4157036000),"7,754","4,075",1.9,"4,239","3,515",1.21
경기도 김포시 김포본동(4157051500),"57,865","22,365",2.59,"28,337","29,528",0.96
경기도 김포시 장기본동(4157052500),"38,941","13,755",2.83,"18,956","19,985",0.95
경기도 김포시 사우동(4157054000),"20,959","9,482",2.21,"10,455","10,504",1
경기도 김포시 풍무동(4157055000),"59,928","23,412",2.56,"28,936","30,992",0.93
경기도 김포시 장기동(4157056000),"40,477","16,009",2.53,"19,792","20,685",0.96
경기도 김포시 구래동(4157057000),"45,433","21,132",2.15,"22,697","22,736",1
경기도 김포시 마산동(4157057500),"35,604","15,302",2.33,"17,589","18,015",0.98
경기도 김포시 운양동(4157058000),"49,275","18,712",2.63,"24,004","25,271",0.95
경기도 화성시 (4159000000),"971,835","418,695",2.32,"504,386","467,449",1.08
경기도 화성시 봉담읍(4159025300),"107,360","45,237",2.37,"54,390","52,970",1.03
경기도 화성시 우정읍(4159025600),"17,072","9,307",1.83,"9,444","7,628",1.24
경기도 화성시 향남읍(4159025900),"85,475","40,467",2.11,"45,965","39,510",1.16
경기도 화성시 남양읍(4159026200),"59,811","29,665",2.02,"32,381","27,430",1.18
경기도 화성시 매송면(4159031000),"6,421","3,402",1.89,"3,430","2,991",1.15
경기도 화성시 비봉면(4159032000),"10,765","6,111",1.76,"6,046","4,719",1.28
경기도 화성시 마도면(4159033000),"6,614","3,944",1.68,"3,969","2,645",1.5
경기도 화성시 송산면(4159034000),"10,587","5,645",1.88,"5,834","4,753",1.23
경기도 화성시 서신면(4159035000),"7,164","4,100",1.75,"3,966","3,198",1.24
경기도 화성시 팔탄면(4159036000),"9,385","5,901",1.59,"5,679","3,706",1.53
경기도 화성시 장안면(4159037000),"9,587","5,411",1.77,"5,555","4,032",1.38
경기도 화성시 양감면(4159040000),"3,879","2,392",1.62,"2,397","1,482",1.62
경기도 화성시 정남면(4159041000),"10,555","6,009",1.76,"6,201","4,354",1.42
